x,y,z
-0.43146716391818657,0.31117265893595947,-0.8111568090437621
-0.43146716391818657,0.502012353592448,-0.7653552823262048
-0.43146716391818657,1.5249131169512264,-0.33024077850941086
-0.40856640055940796,0.15086731542450904,-0.21573696171551773
-0.6986427364372706,0.8913253306916846,-1.7119201678223879
-0.4620015150632248,0.4638444146611503,-0.31497360293689175
-0.45436792727696523,-0.3682166540411398,-0.6279507021735331
-0.774978614299866,0.6928520482489365,-0.9180270380513956
-0.4467343394907057,0.31117265893595947,-0.795889633471243
-0.5307038051395606,1.6241497581726005,-0.6813858166773499
-0.5154366295670415,0.585981819241303,-0.20810337392925818
-0.5536045684983393,0.5783482314550434,-0.5745155876697162
-0.5688717440708584,0.44857723908863123,-0.6050499388147544
-0.30169617155177436,0.4409436513023717,0.12777448866616167
-0.5459709807120797,0.7157528116077152,-0.4294774197307849
-0.141390828040324,-0.49035405862129244,-0.6432178777460521
-0.4620015150632248,0.1585009032107686,-0.360775129654449
-0.5154366295670415,-0.131575432667094,-0.5058132975933803
-0.6604747975059728,0.3722413612260358,-1.1241339082804032
-0.7520778509410874,0.25773754443214264,-0.4142102441582658
-0.5612381562845988,0.4791115902336694,-0.9256606258376552
-0.3093297593380339,-0.6506594021327429,-0.0630652059903269
-0.30169617155177436,-1.6277586387739642,-0.879859099120098
-0.36276487384185074,-0.1468426082396131,-0.8340575724025406
-0.5001694539945225,0.6088825826000815,-0.1928361983567391
-0.18719235475788126,-1.497987646407552,0.34151494668142884
-0.38566563720062935,0.3951421245848144,-0.6279507021735331
-0.43146716391818657,1.647050521531379,-1.17756902278422
-0.5459709807120797,-1.7880639822854147,-0.5745155876697162
-0.5765053318571179,0.9294932696229824,-0.37604230522696813
-0.4849022784220034,-0.12394184488083446,-0.18520261057047957
-0.5765053318571179,0.25010395664588314,-1.1394010838529223
-0.324596934910553,0.043997086416875476,-1.2920728395781131
-0.4620015150632248,0.10506578870695181,-0.994362915913991
-0.691009148651011,0.08216502534817319,-1.108866732707884
-0.21772670590291943,-0.5056212341938116,-1.5974163510284949
-0.45436792727696523,1.9447604451955014,-0.8874926869063575
-0.5383373929258202,-1.849132684575491,-0.2844392517918536
-0.691009148651011,0.21956960550084492,-0.4829125342346017
-0.4391007517044461,1.8760581551191655,-0.5974163510284949
-0.3932992249868889,0.09743220092069227,-0.5439812365246781
-0.18719235475788126,-0.21554489831594897,-0.39894306858574674
-0.4467343394907057,0.7920886894703106,1.6010569314142533
