x,y,z
0.0036473398986073065,-0.0018044403006817786,0.005637084086008974
11.011280927684867,2.8302566284016084,-46.75008810675369
23.194487034555095,52.60124899481382,-65.89512627469261
28.82044123302838,43.81498945282909,-62.017263679272766
16.713571004020743,34.56308105588252,-7.063065205990327
29.560899248295552,29.28827189557718,-5.238637725074296
35.11051756890624,36.42567647572985,-0.39894306858574674
26.805174057455858,29.31117265893596,3.555255404696696
28.736471767379523,32.60124899481382,14.043805023017308
27.98074657653983,23.15850090321077,-5.292072839578113
29.30135726356273,10.120332964279472,-17.460011770875823
19.385326729211585,2.7386535749664938,8.532354641337918
4.454029019287921,-2.9331021502243457,32.8758660917196
-2.2635282326204766,-16.39111741739992,44.68502639706311
-12.981085484528874,-30.84149909678923,28.532354641337918
-24.774978614299865,-35.536155585338854,27.020904259658526
-34.08795571353651,-35.910201386865566,17.738461511566925
-30.462001515063225,-35.87966703572053,-4.231004137288037
-32.69100914865101,-37.849132684575494,-18.261538488433075
-35.32459693491055,-21.810964745644196,-38.81115680904376
-26.942917545597577,-18.001804440300685,-45.04016444263154
-24.133757240254067,3.219569605500845,-37.704286580036126
-15.355131286055592,12.601248994813822,-31.055431618204068
-5.484902278422003,25.65468410931764,-13.765355282326205
9.835708408600897,35.41040930015733,-14.01726367927277
23.072349629974944,37.082165025348175,-17.03253085484529
31.530364897150516,32.57071464366878,1.967469145154711
29.423494668142883,37.63178334595886,9.944568381795934
37.064716042188685,30.891325330691682,12.83006456500204
35.30899085134899,23.40277571237107,2.3262477711089096
33.14868550783754,11.066897849775653,-6.650851465532312
21.25555573684517,11.402775712371074,12.49418670240662
11.156319095623797,4.96766120855428,34.81479738942952
6.7975404696696,-6.8414990967892315,31.32624777110891
-4.026887011246431,-25.169743371598393,32.37968288561273
-18.080322125750246,-28.620125050987706,30.204110366528756
-30.02688701124643,-33.44455253190374,25.76899586271196
-34.57650533185712,-38.75752963114038,15.456018763475322
-37.18719235475788,-43.99417085251442,-6.055431618204068
-38.21772670590292,-44.33004871510985,-29.276805664005597
-34.744444263154826,-20.57432352427015,-44.65085146553231
-31.59177250742964,-14.795697570071674,-49.96382856476895
-27.294062583765516,1.5707146436687838,-30.67375222889109
-17.691009148651013,10.204302429928326,-16.750088106753687
-4.065054950177728,25.80735586504283,-14.00199650370025
9.705937416234484,34.17376807878328,-20.67375222889109
21.873876347532196,37.13560013985199,-23.88749268690636
34.27845650020395,33.41804288794359,-0.9867293281277314
30.316624439135246,38.532546704737484,11.784263038284482
37.80517405745586,35.28063830779092,13.84533174057456
38.003647339898606,30.517279529164966,2.9598355573684514
39.759372530738304,13.47911159023367,-10.81115680904376
28.431128255929142,12.97529479634054,10.623957694773033
17.873876347532196,6.601248994813822,35.89876685507838
11.644868713944408,-1.2537128372472468,42.043805023017306
1.5379984849367754,-19.177376959384652,40.24991189324631
-9.110856476895286,-33.146842608239616,34.356782122253954
-22.507803041780782,-36.39875100518618,30.79189662607074
-34.13375724025406,-41.70409451663656,29.27281265660509
-40.13375724025406,-41.665926577705264,14.730827923780666
-35.23299388147544,-44.337682302896106,-20.597416351028496
-39.88948243109376,-38.108674669308314,-54.00199650370025
-39.614673270788415,-18.971270089155645,-51.253904900646816
-33.56887174407086,-2.429285356331216,-48.53634764873841
-28.080322125750246,8.387508536798554,-15.437111007517045
-15.171925179185363,15.647050521531378,-21.566881999883456
-0.11085647689528581,30.303539071149697,-29.20810337392926
12.301357263562728,37.63941693374512,-31.856958335761316
26.553265660509293,41.150867315424506,-10.986729328127732
38.003647339898606,41.647050521531376,15.50182029019288
39.59143359944059,41.31880624672222,11.967469145154713
43.255555736845174,34.28827189557718,13.585789755841734
42.03418169104364,27.60888258260008,0.4865531146203601
39.45402901928792,15.585981819241303,-2.826423984616281
30.835708408600897,6.059264261989394,21.944568381795932
20.392960316997844,-0.681193753277781,43.88349967950586
8.560899248295554,-8.345315890682361,54.03617143523105
-2.0803221257502478,-17.90256779907931,47.37204929782647
-12.545970980712081,-32.42165176854496,35.99036990851349
-25.454367927276966,-39.658292989919005,28.48655311462036
-38.110856476895286,-47.31478153953732,20.13540807645242
-48.57650533185712,-41.58959069984267,-1.3913094807994872
-53.675741973078495,-34.82623192121672,-31.47527894644834
-41.477268690635746,-29.009438028086944,-76.22337054950178
-45.41619998834567,-22.39875100518618,-64.04779803041781
-40.58413891964338,-4.780430394499155,-40.017263679272766
-25.813146553231164,12.379874949012295,-30.467645358662082
-12.920016782238799,27.150867315424506,-25.8416911601888
5.545632072723035,32.92185968183672,-27.994362915913992
18.28609008799021,40.166134490997024,-19.566881999883456
31.308990851348987,38.63178334595886,3.036171435231047
45.057082454402426,42.04399708641687,3.9140340306508943
41.247922149058915,39.55544746809626,11.707927160421887
52.29372367577647,31.211936017714585,19.196476778742497
47.141051920051275,24.563081055882524,6.104873725307383
42.377693141425326,17.47147800244741,18.29571341996387
33.39296031699784,6.440943651302372,33.86059891614708
22.721204591807005,0.10506578870695181,46.30334700775013
11.179219858982576,-10.54378917312511,52.20411036652876
0.35479237806654623,-24.72699527999534,46.662125633704335
-16.86658166773498,-34.31478153953732,42.05907219858983
-27.74444426315483,-43.23844566167473,37.45601876347533
-40.13375724025406,-40.13920902045336,7.936934794009674
-53.39329922498689,-39.36821665404114,-17.444744595303305
-56.69100914865101,-34.032338791445724,-57.32260719072315
-54.46963510284949,-21.620125050987706,-77.86459192354758
-45.07268853796399,-14.03997237923198,-78.4829125342346
-38.88948243109376,7.547813880310005,-50.66611864110483
-27.309329759338034,19.708119223821456,-18.307340015150633
1.0341816910436457,31.555447468096265,1.48655311462036
13.041815278829905,40.13560013985199,-16.429477419730787
26.64486871394441,39.8684245673329,-20.627950702173536
39.12578474447876,46.57071464366878,-4.742454518967426
48.96547940096731,34.79208868947031,27.020904259658526
52.21738779791387,34.349340597867254,23.883499679505857
49.21738779791387,26.059264261989394,6.127774488666161
46.331891614707764,11.28827189557718,16.11250731309364
36.94257863760853,11.830256628401608,40.043805023017306
25.583800011654333,-1.0018044403006818,59.104873725307385
14.545632072723034,-17.34531589068236,56.929301206223414
-2.110856476895286,-27.589590699842667,44.18884319095624
-18.02688701124643,-38.55142276091137,42.05907219858983
-30.645207621933455,-34.42165176854496,22.242278305460054
-42.13375724025406,-38.67356016549152,-12.719553755608647
-57.53833739292582,-38.36821665404114,-30.00199650370025
-59.439100751704444,-31.84149909678923,-68.17756902278423
-48.85131449216246,-10.116308257094575,-78.88749268690636
-41.83604731658994,-6.52088840976633,-75.8035232212575
-34.90474960666628,10.738653574966493,-40.43711100751704
-20.439100751704448,22.387508536798553,-15.910393450265136
-3.324596934910553,36.898958918477945,-20.52871406095216
14.25555573684517,35.13560013985199,-18.963828564768953
32.835708408600894,35.79972227725657,-8.231004137288036
42.889143523104714,35.79208868947031,17.875866091719598
46.1563190956238,33.86079097954664,33.77662945049823
52.255555736845174,29.547813880310002,26.80716380164326
41.17921985898258,21.96766120855428,13.99800349629975
40.78227329409708,6.257737544432143,23.578156168055475
29.78990688188334,5.555447468096265,40.2728126566051
17.705937416234484,-8.421651768544956,56.63159128255929
6.698303828448226,-17.665926577705264,52.8376981527883
-10.782612202086126,-27.60485787541519,39.227011129887536
-20.965818308956354,-31.459819707476257,24.852965328360817
-33.492535866208264,-35.12394184488084,-10.398943068585746
-48.2024595303304,-31.482720470835034,-26.04016444263155
-53.477268690635746,-19.360583066254883,-54.60504993881475
-47.15665800361285,-24.833865509002973,-70.09359955713536
-42.4467343394907,-11.490354058621293,-61.18520261057048
-29.17955876697162,-2.681193753277781,-47.704286580036126
-21.39329922498689,10.601248994813822,-17.124133908280402
-7.767345026513606,19.105065788706952,-10.65848505331857
11.415861080356622,28.65468410931764,-9.711920167822388
23.988380164326088,26.196668842142063,1.1659424275974595
40.637235126158146,37.089798613134434,10.692659984849369
